Tower,Community, 
11SEPL0,C,
14COSU1,E,
15COSU1,D,
2NENTU1,F,
4CENF8A,C,
5ANUEU1,D,
5DEUMU1,D,
5DFF2A,D,
AAANTU1,F,
AALIRU1,F,
AAMACU1,C,
ABARF5A,D,
ABEDFAA,C,
ABELF5A,C,
ABMOF8A,D,
ABTISU1,C,
ACACF6A,F,
ACARF3A,A,
ACAROU1,C,
ACHC1A,D,
ACTLEU1,F,
ACTRF5A,C,
AFPPVU1,B,
AFRRFU1,D,
AGANDU1,A,
AGMACL0,B,
AGRIF8A,F,
AGSC1A,D,
AGSTF6A,B,
AGUAF8A,E,
AHHF2A,F,
AHUC1A,B,
AJINEL0,C,
ALACIL0,D,
ALALCL0,D,
ALBC2A,C,
ALBERL0,B,
ALCALL0,C,
ALCC1A,C,
ALDEF8A,F,
ALEJSEA,C,
ALENOL0,C,
ALLOF8A,D,
ALOC1A,C,
ALONSAA,C,
ALVARU1,C,
ALVES10,C,
ALVIFU1,E,
AMERFAA,E,
AMEXF6A,F,
AMUF210,F,
AMUF2A,A,
ANITAU1,E,
ANPUF6A,E,
ANTPR9A,A,
ANTUF3A,C,
ANVC2A,C,
AOSSF6A,C,
APARF9A,D,
APERRU1,A,
APORF8A,D,
APQC1A,C,
APUF2A,C,
AREN2U1,B,
AREN3U1,C,
ARENAL0,E,
ARGTF8A,F,
ARMAF8A,A,
ARQUEL0,C,
ARRA2U1,C,
ARRIF30,C,
ARZTF6A,E,
ASBXF8A,D,
ASCLF9A,D,
ASFRE10,D,
ASRRF6A,A,
ASURAA,D,
ATBLABA,C,
ATICF8A,C,
ATRQF10,C,
ATRRF6A,D,
AVCC1A,F,
AVESEU1,E,
AVIUML0,B,
AVLAUU1,E,
AVLCLU1,A,
AVPAZAA,A,
AWAREL0,C,
BAHF20T,D,
BAHIAU1,F,
BALG1A,F,
BARAF6A,E,
BARROL0,C,
BASF2A,A,
BBPVIU1,C,
BBVA1U1,C,
BCIAF9A,B,
BCIGF8A,C,
BEAUF6A,B,
BELETU1,C,
BELGIU1,A,
BERGAL0,C,
BERNAL0,E,
BHPCPU1,C,
BIAR2U3,C,
BMERF10,D,
BMUCF6A,D,
BOLITAA,C,
BOMAF6A,F,
BOQUEU1,E,
BOQUF9A,C,
BOSAF8A,D,
BOTASU1,E,
BOTC2A,F,
BRASR9A,A,
BRAVONA,D,
BRJAF9A,D,
BRSC1A,D,
BSURF8A,C,
BULC1A,B,
BUSISAA,B,
BUSTF6A,C,
CADIF6A,B,
CAFAF6A,D,
CAHENL0,C,
CAL42U1,C,
CALG1A,C,
CALLF8A,C,
CAN13U1,B,
CAPG1A,C,
CAPITU1,C,
CARCAL0,D,
CARCUL0,B,
CARLE9A,D,
CARMEAA,B,
CARRF8A,A,
CATC2A,A,
CAVEF9A,C,
CCAROU1,A,
CCASNAA,F,
CCHC1A,A,
CCLAF9A,D,
CDTC1A,A,
CEMG1A,A,
CEMORAA,A,
CENAVU1,D,
CEPARL0,C,
CERC1A,D,
CERVFW1,A,
CERXBAA,D,
CESCRAA,A,
CFRAFBA,E,
CHANTL0,B,
CHELOL0,A,
CHHBTU1,D,
CHLC110,B,
CHPC1A,D,
CIENF9A,D,
CIHB110,E,
CIHB1U1,E,
CINC1A,D,
CIPINU1,E,
CISRF8A,A,
CLALD10,C,
CLCDF3A,C,
CLCEHU1,C,
CLCP210,C,
CLNC1A,C,
CLORF8A,C,
CLOTF8A,C,
CLQC2A,D,
CMARF9A,F,
CMELF9A,D,
CMMPENA,C,
CNAVF8A,A,
CNHB1U1,D,
CNHB1U2,D,
CNHB1U3,D,
CNLOF8A,C,
CNSC1A,F,
CNTC1A,D,
CNUNF6A,C,
COAGF2A,B,
COAGIU1,D,
COAHF2A,D,
COBAF8A,B,
COBREU1,C,
COBREU3,C,
COCE2AA,C,
COCE3U1,C,
COCEN0A,C,
CODOC10,C,
COECIU1,C,
CONCHL0,A,
CONDF8A,B,
CONQF9A,C,
CONSDL0,B,
CONSF9A,C,
COPEIU1,C,
COPERAA,F,
COPESU1,B,
COPHUU1,C,
CORF2A,B,
CORFOAA,C,
COSN2U1,C,
COSN2U2,C,
COSNORA,A,
COSNORC,C,
COSNOU1,C,
COSNOU2,A,
COUC1A,F,
CRECERA,C,
CREJF8A,D,
CRENF8A,A,
CRISF6A,C,
CRYC1A,C,
CSANF3A,F,
CSBDF8A,E,
CSJNF8A,F,
CSMBEU1,B,
CSNOF8A,D,
CSPG1A,C,
CSTAMAA,B,
CSTG1A,E,
CTDLF5A,A,
CTORF8A,F,
CUETEL0,C,
CUMF2A,D,
CURZF3A,C,
CVTRF9A,C,
DARAF8A,C,
DBZAF8A,A,
DCOCF8A,D,
DELOI10,C,
DGAC1A,C,
DGARF8A,E,
DHRLF9A,C,
DHSG1A,C,
DIGOR9A,C,
DINCF8A,C,
DIPAF8A,B,
DIRAF8A,C,
DMNC2A,C,
DOCTOL0,C,
DORSF8A,A,
DPCRZAA,F,
DPTC2A,E,
E298UL0,C,
EALCONA,D,
EASYQAA,C,
EATCUU1,F,
EAVC1A,E,
EBPHE10,C,
EBUSTU1,F,
ECOR4AA,C,
ECOR5AA,C,
ECOR6AA,C,
ECROF8A,C,
ECUAH10,D,
ECUAHU1,D,
ECVTRU1,C,
EDA11U1,C,
EDARTEA,C,
EDCTRU1,B,
EDIRF8A,C,
EDNERDA,C,
EDNUAL0,E,
EDSOF6C,D,
EDUAUU1,A,
EESF2A,C,
EFEC1A,E,
EFEC2U1,C,
EGAC1A,C,
EGOLF10,C,
ELALF8A,C,
ELMEIU1,C,
ELOJEL0,C,
ELPC2A,F,
